ID,Name,Brand,Category,Price,DiscountPrice,Image_URL
58,"Kenwood AC 1267 E Comfort Pro","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-ac-1267-e-comfort-pro.png"
56,"Kenwood AC 12b02s 1 Ton Inverter Luxury Pro DC AC","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-ac-12b02s-1-ton-inverter-luxury-pro-dc-ac.png"
59,"Kenwood AC 1866 1.5 Ton E Smart Onyx","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-ac-1866-1-5-ton-e-smart-onyx.png"
57,"Kenwood AC 18c01s 1.5 Ton Inverter Glory Pro","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-ac-18c01s-1-5-ton-inverter-glory-pro.png"
60,"Kenwood Inverter AC 1.0 Ton E-smart Onyx 1266s","KENWOOD","Air Conditioners",50000,47500,"/images/kenwood-kenwood-inverter-ac-1-0-ton-e-smart-onyx-1266s.png"
62,"Orient 1 Ton 12g Lunar Grace Golden","ORIENT","Air Conditioners",50000,47500,"/images/orient-orient-1-ton-12g-lunar-grace-golden.png"
63,"Orient Everest 12w Geo White","ORIENT","Air Conditioners",50000,47500,"/images/orient-orient-everest-12w-geo-white.png"
1,"Orient Everest 18w Geo White","ORIENT","Air Conditioners",50000,47500,"/images/orient-orient-everest-18w-geo-white.png"
64,"Orient Fa 18x Snow White","ORIENT","Air Conditioners",50000,47500,"/images/orient-orient-fa-18x-snow-white.png"
2,"Orient Infinity 18x Silver Matt T3+","ORIENT","Air Conditioners",50000,47500,"/images/orient-orient-infinity-18x-silver-matt-t3.png"
61,"Orient Split AC Mega 12x 1 Ton T3 DC Inverter Heat & Cool","ORIENT","Air Conditioners",50000,47500,"/images/orient-orient-split-ac-mega-12x-1-ton-t3-dc-inverter-heat-cool.png"
157,"Samsung 8kg Washing Machine Wa80ck4240bwrt Dit","Samsung","Air Conditioners",50000,47500,"/images/samsung-samsung-8kg-washing-machine-wa80ck4240bwrt-dit.png"
158,"Samsung 9kg Washing Machine Wa90ck4545bdrt","Samsung","Air Conditioners",50000,47500,"/images/samsung-samsung-9kg-washing-machine-wa90ck4545bdrt.png"
159,"Samsung Ecobubble Top Load Fully Automatic Washing Machine 13 Kg Dark Gray (wa13ck5441byrt)","Samsung","Air Conditioners",50000,47500,"/images/samsung-samsung-ecobubble-top-load-fully-automatic-washing-machine-13-kg-dark-gray-wa13ck5441byrt.png"
160,"Samsung Top Load Fully Automatic Washing Machine 21kg White (wa21ck6745bvrt)","Samsung","Air Conditioners",50000,47500,"/images/samsung-samsung-top-load-fully-automatic-washing-machine-21kg-white-wa21ck6745bvrt.png"
288,"TAC 18 T5","TCL","Air Conditioners",176000,167200,"/images/tcl-tac-18-t5.png"
289,"TAC 24 T5 Smart","TCL","Air Conditioners",197000,187150,"/images/tcl-tac-24-t5-smart.png"
65,"TCL 12 Svn-ai-co-31g 1.0 Ton","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-12-svn-ai-co-31g-1-0-ton.png"
66,"TCL 12e Cool A 1 Ton DC Inverter Air Conditioner","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-12e-cool-a-1-ton-dc-inverter-air-conditioner.png"
67,"TCL 12t3-pro-11/12 1.0 Ton DC Inverter AC","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-12t3-pro-11-12-1-0-ton-dc-inverter-ac.png"
69,"TCL 18t3-pro-11 Breezein Series Inverter Split AC","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-18t3-pro-11-breezein-series-inverter-split-ac.png"
70,"TCL 18t5 Voxin-12/13 1.5 Ton Inverter Air Conditioner","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-18t5-voxin-12-13-1-5-ton-inverter-air-conditioner.png"
71,"TCL 24e-cool 2.0 Ton Inverter Air Conditioner","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-24e-cool-2-0-ton-inverter-air-conditioner.png"
72,"TCL 24t3-pro-11 Breezein Series Inverter Split AC","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-24t3-pro-11-breezein-series-inverter-split-ac.png"
73,"TCL AC 1 Ton Inverter Voxin Series 12t5-vox-12","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-ac-1-ton-inverter-voxin-series-12t5-vox-12.png"
74,"TCL AC 1.5 Ton Inverter Voxin Series 18t5-vox-12","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-ac-1-5-ton-inverter-voxin-series-18t5-vox-12.png"
75,"TCL AC 2.0 Ton Split Inverter Tac-24t5-smt-s","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-ac-2-0-ton-split-inverter-tac-24t5-smt-s.png"
77,"TCL Savein Cool Only 18svn-ai-co-31s","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-savein-cool-only-18svn-ai-co-31s.png"
78,"TCL Split AC 2 Ton 24svn-ai-co-31 Savein Inverter","TCL","Air Conditioners",50000,47500,"/images/tcl-tcl-split-ac-2-ton-24svn-ai-co-31-savein-inverter.png"
