S_No,Brand,Category,Model_Name,SKU,Rate,Image_URL,Image_Status,Match_Notes
"132","Haier","Microwave","HMO-62 MX80",""," 46,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"133","WestPoint","Kitchen Appliance","WestPoint 1153","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"134","WestPoint","Kitchen Appliance","WestPoint 1154","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"135","WestPoint","Kitchen Appliance","WestPoint 1155","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"136","WestPoint","Kitchen Appliance","WestPoint 1156","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"137","WestPoint","Kitchen Appliance","WestPoint 1851","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"138","WestPoint","Kitchen Appliance","WestPoint 2020","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"139","WestPoint","Kitchen Appliance","WestPoint 2023","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"140","WestPoint","Kitchen Appliance","WestPoint 2024","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"141","WestPoint","Kitchen Appliance","WestPoint 2063","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"142","WestPoint","Kitchen Appliance","WestPoint 2064","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"143","WestPoint","Kitchen Appliance","WestPoint 2065","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"144","WestPoint","Kitchen Appliance","WestPoint 3117","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"145","WestPoint","Kitchen Appliance","WestPoint 3119","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"146","WestPoint","Kitchen Appliance","WestPoint 6172","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"147","WestPoint","Kitchen Appliance","WestPoint 6174","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"148","WestPoint","Kitchen Appliance","WestPoint 6175","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"149","WestPoint","Kitchen Appliance","WestPoint 6178","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"150","WestPoint","Kitchen Appliance","WestPoint 6807","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"151","WestPoint","Kitchen Appliance","WestPoint 6809","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"152","Haier","Washing Machine","HWM-120 AS MG",""," 41,500 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"153","Haier","Washing Machine","HWM-120-826 E",""," 60,500 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"154","Haier","Washing Machine","HWM-49102 GD",""," 27,500 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"155","Haier","Washing Machine","HWM-49102 P",""," 26,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"156","Haier","Washing Machine","HWM-49112 GD",""," 31,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"157","Haier","Washing Machine","HWM-49112 P",""," 30,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"158","Haier","Washing Machine","HWM-75 AS",""," 23,500 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"159","Haier","Microwave","HGL-25MXP8",""," 23,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"160","Haier","Microwave","HMO-62 MX80",""," 46,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"161","WestPoint","Kitchen Appliance","WestPoint 1153","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"162","WestPoint","Kitchen Appliance","WestPoint 1154","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"163","WestPoint","Kitchen Appliance","WestPoint 1155","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"164","WestPoint","Kitchen Appliance","WestPoint 1156","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"165","WestPoint","Kitchen Appliance","WestPoint 1851","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"166","WestPoint","Kitchen Appliance","WestPoint 2020","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"167","WestPoint","Kitchen Appliance","WestPoint 2023","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"168","WestPoint","Kitchen Appliance","WestPoint 2024","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"169","WestPoint","Kitchen Appliance","WestPoint 2063","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"170","WestPoint","Kitchen Appliance","WestPoint 2064","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"171","WestPoint","Kitchen Appliance","WestPoint 2065","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"172","WestPoint","Kitchen Appliance","WestPoint 3117","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"173","WestPoint","Kitchen Appliance","WestPoint 3119","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"174","WestPoint","Kitchen Appliance","WestPoint 6172","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"175","WestPoint","Kitchen Appliance","WestPoint 6174","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"176","WestPoint","Kitchen Appliance","WestPoint 6175","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"177","WestPoint","Kitchen Appliance","WestPoint 6178","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"178","WestPoint","Kitchen Appliance","WestPoint 6807","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"179","WestPoint","Kitchen Appliance","WestPoint 6809","","","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"180","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"181","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"182","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"183","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"184","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"185","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"186","Kenwood","Washing Machine","KWM-899 WASHER",""," 18,500 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"187","Kenwood","Washing Machine","KWS- 1050 SPINNER",""," 18,500 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"188","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"189","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"190","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"191","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"192","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"193","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"194","Kenwood","AC","KEN 1276 E-Nova",""," 95,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"195","Kenwood","AC","KEN 1876 E-Nova",""," 118,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"196","Kenwood","AC","KEN 2476 E-Nova",""," 169,000 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"197","PEL","Microwave","PMO-23 SLM",""," 23,300 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"198","PEL","Microwave","PMO-26 DESIRE",""," 29,300 ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"199","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"200","Super Asia","Washing Machine","SD-525",""," -   ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
"201","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","","STILL_UNVERIFIED","Model not listed in official category page scroll"
